2025-10-17 | 19:00:27 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'pruebadam1'
2025-10-30 | 13:38:00 | Conexión a la DB | Conexión abierta correctamente
2025-10-30 | 13:38:51 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-31 | 13:22:29 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 15:57:34 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-31 | 15:57:41 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 15:59:26 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 15:59:55 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:01:58 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:04:48 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-31 | 16:08:16 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:08:36 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:21:08 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:51:18 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:56:06 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:56:44 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:57:12 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-31 | 16:58:14 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 16:58:26 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-31 | 16:59:04 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 17:22:34 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 17:23:44 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-31 | 17:23:50 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 17:24:16 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-31 | 17:26:10 | Conexión a la DB | Conexión abierta correctamente
2025-10-31 | 17:26:15 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 11:30:51 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 11:31:49 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 11:35:03 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 11:35:30 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 12:29:45 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 12:30:37 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 12:30:41 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 12:49:23 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 12:56:42 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 12:57:05 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 13:03:31 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:03:58 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 13:09:43 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:10:11 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 13:10:45 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:11:09 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 13:11:12 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:11:31 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 13:42:54 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:43:18 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 13:53:45 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:54:00 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 13:54:03 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:58:35 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 13:59:16 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:03:56 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:08:45 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:11:08 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:11:27 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:11:31 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:13:33 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:14:18 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:15:16 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:16:26 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:17:08 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:17:33 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:26:10 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:26:43 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:27:36 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:27:56 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:28:55 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:29:20 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:30:35 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:32:34 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:33:56 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:40:03 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:40:25 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:41:05 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:41:22 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:41:45 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:42:04 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:42:53 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:43:36 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:44:08 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:44:26 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:45:27 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:45:49 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:46:29 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:46:54 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:47:07 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:47:26 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:48:11 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 14:48:42 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 14:48:57 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 16:44:47 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 16:47:36 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 16:48:42 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 16:49:22 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 16:51:14 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 16:54:02 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 16:54:28 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 16:58:52 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 16:59:06 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 17:04:40 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 17:06:24 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 17:06:27 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 17:07:11 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 17:07:37 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 17:07:46 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 17:08:14 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 17:08:22 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-06 | 17:08:33 | Conexión a la DB | Conexión abierta correctamente
2025-11-06 | 17:08:46 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-07 | 12:34:43 | Conexión a la DB | Conexión abierta correctamente
2025-11-07 | 13:08:53 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-07 | 13:09:15 | Conexión a la DB | Conexión abierta correctamente
2025-11-07 | 13:13:12 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-07 | 13:21:47 | Conexión a la DB | Conexión abierta correctamente
2025-11-07 | 13:23:06 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-07 | 13:32:08 | Conexión a la DB | Conexión abierta correctamente
2025-11-07 | 13:33:02 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-07 | 13:33:27 | Conexión a la DB | Conexión abierta correctamente
2025-11-07 | 13:34:10 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-09 | 12:29:11 | Conexión a la DB | Conexión abierta correctamente
2025-11-09 | 12:34:41 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-10 | 10:40:56 | Conexión a la DB | Conexión abierta correctamente
2025-11-10 | 10:44:15 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-10 | 10:44:22 | Conexión a la DB | Conexión abierta correctamente
2025-11-10 | 11:10:17 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-13 | 12:23:25 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 12:23:54 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 12:24:22 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 12:28:30 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-13 | 12:29:45 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 12:29:57 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-13 | 12:38:58 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 12:39:36 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 12:41:24 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-13 | 12:46:54 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 12:47:49 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-13 | 14:40:03 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 14:42:04 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 14:42:31 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-13 | 15:13:33 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 15:15:20 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-13 | 15:17:57 | Conexión a la DB | Conexión abierta correctamente
2025-11-13 | 17:30:11 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-21 | 16:58:49 | Conexión a la DB | Conexión abierta correctamente
2025-11-21 | 17:00:39 | Conexión a la DB | Conexión abierta correctamente
2025-11-21 | 17:01:55 | Conexión a la DB | Conexión abierta correctamente
2025-11-21 | 17:06:19 | Conexión a la DB | Conexión abierta correctamente
2025-11-21 | 17:10:44 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-21 | 19:29:17 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-11-21 | 19:29:23 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-11-21 | 19:29:43 | Conexión a la DB | Conexión abierta correctamente
2025-11-21 | 19:31:18 | Conexión a la DB | Conexión abierta correctamente
2025-11-21 | 19:31:33 | Cargando emisores | Table 'dbfacturadam.conceptosfac' doesn't exist
2025-11-21 | 19:33:27 | Conexión a la DB | Conexión abierta correctamente
2025-11-21 | 19:33:35 | Cargando emisores | Table 'dbfacturadam.conceptosfac' doesn't exist
2025-11-21 | 19:34:13 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 12:11:34 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-11-23 | 12:12:02 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-11-23 | 12:12:04 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-11-23 | 12:13:01 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-11-23 | 12:13:22 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 12:13:47 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 12:14:51 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 12:16:46 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 12:21:47 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 12:24:32 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 12:32:25 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 12:44:33 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 12:52:07 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:19:40 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:29:04 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:36:07 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:37:00 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:39:51 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:45:46 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:46:05 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 16:59:04 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 17:54:51 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 18:04:39 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 18:41:15 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 18:46:30 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 18:47:39 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 18:47:55 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 18:48:07 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 18:49:34 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 18:50:21 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 18:52:01 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 18:52:37 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 18:53:54 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 18:59:05 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 19:00:11 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 19:06:24 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 19:22:51 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 19:23:06 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 19:28:00 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 19:29:10 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 20:21:05 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 20:23:08 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 20:25:55 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 21:35:40 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 21:35:45 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 21:37:28 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 21:37:55 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 21:38:22 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 21:40:31 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 21:43:59 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 21:45:26 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 21:46:18 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 21:52:26 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 21:52:51 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 21:55:54 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 21:56:37 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-23 | 21:57:22 | Conexión a la DB | Conexión abierta correctamente
2025-11-23 | 22:05:01 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 10:06:23 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:07:59 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:09:53 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 10:09:58 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:10:09 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 10:15:21 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:16:16 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:22:38 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:23:55 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 10:26:06 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:26:29 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 10:27:58 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:28:54 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 10:30:03 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:30:26 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 10:30:42 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 10:31:04 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 11:02:20 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 11:05:09 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 11:10:45 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 11:14:12 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 11:14:57 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 11:44:13 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 11:44:45 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 11:46:55 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 11:47:28 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 11:48:45 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 11:49:03 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-24 | 11:50:18 | Conexión a la DB | Conexión abierta correctamente
2025-11-24 | 11:53:45 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-27 | 16:24:10 | Conexión a la DB | Conexión abierta correctamente
2025-11-27 | 16:24:59 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-27 | 16:27:10 | Conexión a la DB | Conexión abierta correctamente
2025-11-27 | 16:29:32 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-27 | 16:48:23 | Conexión a la DB | Conexión abierta correctamente
2025-11-27 | 16:48:55 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-27 | 16:57:16 | Conexión a la DB | Conexión abierta correctamente
2025-11-27 | 16:58:41 | Conexión a la DB | Conexión abierta correctamente
2025-11-27 | 16:59:17 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-27 | 16:59:19 | Conexión a la DB | Conexión abierta correctamente
2025-11-27 | 17:00:03 | Desonexión de la DB | Conexión cerrada correctamente.
2025-11-27 | 17:01:49 | Conexión a la DB | Conexión abierta correctamente
2025-11-27 | 17:02:03 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-03 | 19:35:34 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-12-03 | 19:35:41 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-12-03 | 19:36:36 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 19:36:49 | Inicializar factura. Edición: False | There is no row at position 0.
2025-12-03 | 19:37:57 | Inicializar factura. Edición: False | There is no row at position 0.
2025-12-03 | 19:38:07 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-03 | 19:39:04 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 19:39:36 | Inicializar factura. Edición: False | There is no row at position 0.
2025-12-03 | 19:41:42 | Inicializar factura. Edición: False | There is no row at position 0.
2025-12-03 | 19:41:51 | Desonexión de la DB | Conexión cerrada correctamente.
2025-12-03 | 19:42:07 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 19:46:50 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 19:49:01 | Conexión a la DB | Conexión abierta correctamente
2025-12-03 | 19:49:36 | Inicializar factura. Edición: False | Object cannot be cast from DBNull to other types.
2025-12-03 | 19:52:34 | Inicializar factura. Edición: False | Object cannot be cast from DBNull to other types.
2025-12-03 | 19:53:53 | Inicializar factura. Edición: False | Object cannot be cast from DBNull to other types.
2025-12-03 | 19:54:16 | Inicializar factura. Edición: False | Object cannot be cast from DBNull to other types.
